_Language,English,Simplified Chinese,,Language name - in English
_LanguageNative,English,中文简体,,Language name in the native language
_LanguageCode,en,zh,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,"Set head position (in frames) of sequence instance ${sequenceelmid} to ${var}",“将序列实例${sequenceelmid}的头部位置(以帧为单位)设置为${var}”,,dnd story text
GMStdSeqGetHead_Story_1,"Get head position (in frames) of sequence instance ${sequenceelmid} into ${var}",“将序列实例${sequenceelmid}的头部位置(以帧为单位)获取到${var}”,,dnd story text
GMStdSeqGetHead_Story_2,"Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var}",“将序列实例${sequenceelmid}的头部位置(以帧为单位)获取到临时${var}”,,dnd story text
GMStdVar_Story_1,"Set ${var} to ${expr}${show_input_count}",“将 ${var} 设置为 ${expr} ${show_input_count}”,,dnd story text
GMStdVar_Story_2,"Set ${var} to ${expr} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上将${var}设置为${expr}”,,dnd story text
GMStdVar_Story_3,"Add ${expr} to ${var}${show_input_count}",“将${expr}添加到${var}${show_input_count}”,,dnd story text
GMStdVar_Story_4,"Add ${expr} to ${var} on ${applyto}${show_input_count}",“将${expr}添加到${applyto}${show_input_count}上的${var}”,,dnd story text
GMStdTempVar_Story_1,"Declare temp ${var}${show_input_count}",“声明临时${var}${show_input_count}”,,dnd story text
GMStdTempVar_Story_2,"Declare temp ${var} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上声明临时${var}”,,dnd story text
GMStdTempVar_Story_3,"Declare temp ${var} and set it to ${value}${show_input_count}",“声明临时${var}并将其设置为${value}${show_input_count}”,,dnd story text
GMStdTempVar_Story_4,"Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上声明临时${var}并将其设置为${value}”,,dnd story text
GMStdSetGlobal_Story_1,"Set global variable ${var} to ${value}${show_input_count}",“将全局变量${var}设置为${value}${show_input_count}”,,dnd story text
GMStdSetGlobal_Story_2,"Set global variable ${var} to ${value} on ${applyto}${show_input_count}",“在${applyto}${show_input_count}上将全局变量${var}设置为${value}”,,dnd story text
GMStdSetGlobal_Story_3,"Add ${value} to global variable ${var}${show_input_count}",“将${value}添加到全局变量${var}${show_input_count}”,,dnd story text
GMStdSetGlobal_Story_4,"Add ${value} to global variable ${var} on ${applyto}${show_input_count}",“将${value}添加到${applyto}${show_input_count}上的全局变量${var}”,,dnd story text
GMStdGetGlobal_Story_1,"Get global variable ${var} into ${output}${show_input_count}",“将全局变量${var}获取到${output}${show_input_count}”,,dnd story text
GMStdGetGlobal_Story_2,"Get global variable ${var} into ${output} on ${applyto}${show_input_count}",“将全局变量${var}获取到${applyto}${show_input_count}上的${output}”,,dnd story text
GMStdGetGlobal_Story_3,"Get global variable ${var} into temp ${output}${show_input_count}",“将全局变量${var}获取到临时${output}${show_input_count}”,,dnd story text
GMStdGetGlobal_Story_4,"Get global variable ${var} into temp ${output} on ${applyto}${show_input_count}",“将全局变量${var}获取到${applyto}${show_input_count}上的临时${output}”,,dnd story text
GMStdIfVar_Story_1,"If ${var} is not equal to ${value}",“如果${var}不等于${value}”,,dnd story text
GMStdIfVar_Story_2,"If ${var} is not equal to ${value} on ${applyto}",“如果${var}不等于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_3,"If ${var} is not less than ${value}",“如果${var}不小于${value}”,,dnd story text
GMStdIfVar_Story_4,"If ${var} is not less than ${value} on ${applyto}",“如果${var}在${applyto}上不小于${value}”,,dnd story text
GMStdIfVar_Story_5,"If ${var} is not greater than ${value}",“如果${var}不大于${value}”,,dnd story text
GMStdIfVar_Story_6,"If ${var} is not greater than ${value} on ${applyto}",“如果${var}不大于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_7,"If ${var} is not less than or equal to ${value}",“如果${var}不小于或等于${value}”,,dnd story text
GMStdIfVar_Story_8,"If ${var} is not less than or equal to ${value} on ${applyto}",“如果${var}不小于或等于${applyto}上的${value}”,,dnd story text
GMStdIfVar_Story_9,"If ${var} is not greater than or equal to ${value}",“如果${var}不大于或等于${value}”,,dnd story text
